NO	HARI	TANGGAL	SETLIST	UNIT SONG	POSITION	PARTNER	LINEUP	NOTE
243	Sabtu	28/01/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Jinan, Freya, Oniel
244	Kamis	02/02/2023	Ramune no Nomikata	Nice To Meet You		Jinan, Freya, Oniel, Kathrina
245	Jumat	03/02/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Sisca, Oniel
246	Kamis	23/02/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Gita, Kathrina, Jesslyn		#DeySpecialDessert
247	Jumat	24/02/2023	Ramune no Nomikata	Nice To Meet You		Jinan, Freya, Oniel, Lyn		#TheHarmonyOfSisca
248	Selasa	28/02/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose	Center	Lulu, Kathrina, Jesslyn		#Hollaeighteen
249	Rabu	15/03/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose	Center	Jesslyn, Lia, Callie		#Super9en3ration
250	Sabtu	13/05/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose	Center	Freya, Lyn, Callie
251	Minggu	21/05/2023	Ramune no Nomikata	Nice To Meet You		Gita, Freya, Oniel, Lia		#Amazeeng19
252	Kamis	25/05/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Gita, Indah, Lia
253	Jumat	26/05/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Adel, Oniel
254	Sabtu	03/06/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose	Center	Kathrina, Jesslyn, Callie
255	Sabtu	03/06/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Adel, Indah, Oniel
256	Sabtu	10/06/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Gita, Indah, Lia
257	Sabtu	17/06/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Indira, Adel		#Eli23Journey
258	Selasa	20/06/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Gita, Indira, Jesslyn
259	Rabu	05/07/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose	Center	Indah, Kathrina, Callie
260	Kamis	06/07/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Adel, Lia, Indira		#HappyGDay22nd
261	Kamis	20/07/2023	Ramune no Nomikata	Nice To Meet You		Muthe, Lia, Indira, Lyn		#WayToUpgrade
262	Jumat	21/07/2023	Renai Kinshi Jourei	Manatsu no Christmas Rose		Christy, Lia, Indira		#NAVAJIVANA
263	Jumat	04/08/2023	Renai Kinshi Jourei	Renai Kinshi Jourei		Sisca, Lulu
